id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
58,3,,男,2023,信息学院,计算机,本科1班,,男,2023,财政金融学院,金融,金融数学实验班,,女,2023,统计学院,统计学,1班,C,成功参赛,3.373333333,0.6312028,0.636514168,1.098612289,0.268338876,2,0.318257084,成功参赛（未获奖）
59,3,,女,2022,劳动人事学院,人力资源管理,2022级本科人力资源管理2班,,女,2022,劳动人事学院,人力资源管理,2022级本科人力资源管理2班,,女,2023,财政金融学院,金融学,2023级本科金融一班,C,成功参赛,3.77,0.348955825,0,0.636514168,0.31875023,0,0.318257084,成功参赛（未获奖）
60,3,,男,2023,统计学院,应用统计学,2023级本科3班,,女,2023,信息学院,金融学和数据科学与大数据技术,信管-金科拔尖班,,女,2023,环境学院,资源与环境经济学科学专业,2023级经济学科学实验班,,成功参赛,3.37,0.919895743,0.636514168,1.098612289,0.233016235,4,0.318257084,成功参赛（未获奖）
61,3,,女,2022,统计学院,统计学类,统计学院本科4班,,女,2022,统计学院,应用统计,统计学院本科2班,,男,2022,高瓴人工智能学院,人工智能,人工智能本科班,B,北京一等奖,3.266666667,0.402707193,0.636514168,1.098612289,0.354138456,0,0.318257084,市级奖项
63,3,,男,2023,统计学院,统计学类,2023201879,,女,2023,高瓴人工智能学院,人工智能,23级本科1班,,女,2023,高瓴人工智能学院,人工智能,23级本科2班,C,成功参赛,3.04,0.402707193,0.636514168,0.636514168,0.13498852,0,0.318257084,成功参赛（未获奖）
64,3,,女,2023,财政金融学院,金融学类,金融三班,,男,2023,财政金融学院,金融,金融二班,,男,2023,财政金融学院,金融,金融科技实验班,C,成功参赛,3.336666667,0,0.636514168,0.636514168,0.367491626,1,0.318257084,成功参赛（未获奖）
65,3,,男,2023,信息学院,信息管理与信息系统,信管拔尖班,,男,2023,信息学院,计算机,理科实验班2班,,男,2023,环境学院,经济学数学,经济学-科学拔尖人才本科实验班,C,成功参赛,3.366666667,0.745961452,0,1.098612289,0.560917412,6,0,成功参赛（未获奖）
66,3,,女,2023,数学学院,金融学数学,数学英才班,,男,2023,数学学院,金融数学,数学英才班,,男,2023,数学学院,经济学数学,数学英才班,C,北京一等奖,3.596666667,0,0.636514168,1.098612289,0.551608847,0,0.318257084,市级奖项
67,3,,男,2023,高瓴人工智能学院,人工智能,高瓴23级人工智能拔尖二班,,男,2023,经济学院,经济学类,经济学院23级本科一班,,男,2023,应用经济学院,应用经济与农村区域发展,区管班,C,成功参赛,3.583333333,0.453313013,0,1.098612289,0.55209492,3,0,成功参赛（未获奖）
68,3,,男,2023,经济学院,经济学类,23级本科2班,,男,2023,经济学院,经济学类,23级本科2班,,男,2023,公共管理学院,资源环境经济学和公共管理,可持续发展与城市治理实验班,C,北京二等奖,3.716666667,0.479450896,0,0.636514168,0.331585162,2,0,市级奖项
69,3,,男,2022,统计学院,应用统计学,2022级本科3班,,男,2022,统计学院,应用经济-数据科学双学位实验班,2022级本科5班,,女,2022,统计学院,应用统计学,2022级本科2班,B,成功参赛,3.636666667,0,0.636514168,0.636514168,0.367491626,3,0.318257084,成功参赛（未获奖）
70,3,,男,2023,财政金融学院,财政学,财税班,,男,2023,财政金融学院,金融学,金融四班,,男,2023,财政金融学院,财政学,财税班,C,成功参赛,3.803333333,0,0,0.636514168,0.367491626,0,0,成功参赛（未获奖）
71,3,,男,2022,统计学院,应用统计学,统计学院2022级本科2班,,女,2023,商学院,工商管理类,商学院2023级本科4班,,女,2023,信息学院,计算机,图灵实验班,B,成功参赛,3.453333333,1.015864697,0.636514168,1.098612289,0.246403687,2,0.636514168,成功参赛（未获奖）
72,3,,男,2023,财政金融学院,金融学类,金融四班,,女,2023,物理学院,物理,2023级物理系本科班,,男,2023,财政金融学院,金融学,金融四班,C,成功参赛,3.463333333,0.357840849,0.636514168,1.098612289,0.374151444,3,0.318257084,成功参赛（未获奖）
